"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"chrome","1","253","2199820128256","25878528","27226112","22280","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.421875","63.0.3239.84","63.0.3239.84","Google Chrome","Google Chrome","Process","8",,"False",,"1908","Microsoft.Win32.SafeHandles.SafeProcessHandle","253","14132",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22280","22280","27226112","27226112","379360","379360","27557888","27557888","34414592","34414592","799952896","2199823208448","True","Normal","27226112","27226112","00:00:00.2812500","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","1/4/2018 10:52:29 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4218750","00:00:00.1406250","796872704","2199820128256","False",,,,"25878528","25878528",,
"chrome","1","379","2200086061056","177233920","158023680","52880","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","23.71875","63.0.3239.84","63.0.3239.84","Google Chrome","Google Chrome","Process","8",,"False",,"3332","Microsoft.Win32.SafeHandles.SafeProcessHandle","379","14328",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","52880","52880","158023680","158023680","558784","558784","209010688","209010688","215351296","215351296","1083006976","2200106262528","True","Normal","158023680","158023680","00:00:02.8593750","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","1/5/2018 7:25:29 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:23.7187500","00:00:20.8593750","1062805504","2200086061056","False",,,,"177233920","177233920",,
"chrome","1","548","2200118890496","152940544","170393600","41648","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","260.46875","63.0.3239.84","63.0.3239.84","Google Chrome","Google Chrome","Process","8",,"False",,"2500","Microsoft.Win32.SafeHandles.SafeProcessHandle","548","14568",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","41648","41648","170393600","170393600","773032","773032","442396672","442396672","317386752","317386752","1122463744","2200145719296","True","Normal","170393600","170393600","00:01:16.9531250","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","1/4/2018 10:52:28 PM",,"System.Diagnostics.ProcessThreadCollection","00:04:20.4687500","00:03:03.5156250","1095634944","2200118890496","False",,,,"152940544","152940544",,
"chrome","1","279","2199867277312","44163072","58241024","28808","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","2.109375","63.0.3239.84","63.0.3239.84","Google Chrome","Google Chrome","Process","8",,"False",,"3364","Microsoft.Win32.SafeHandles.SafeProcessHandle","279","15508",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28808","28808","58241024","58241024","398456","398456","58306560","58306560","61190144","61190144","849788928","2199873044480","True","Normal","58241024","58241024","00:00:00.3281250","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","1/4/2018 10:52:59 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.1093750","00:00:01.7812500","844021760","2199867277312","False",,,,"44163072","44163072",,
"chrome","1","262","2200008880128","145514496","168689664","59136","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","20.515625","63.0.3239.84","63.0.3239.84","Google Chrome","Google Chrome","Process","8",,"False",,"2812","Microsoft.Win32.SafeHandles.SafeProcessHandle","262","15868",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","59136","59136","168689664","168689664","391664","391664","341028864","341028864","342728704","342728704","1129496576","2200152752128","True","Normal","168689664","168689664","00:00:02.3593750","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","1/4/2018 10:52:28 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:20.5156250","00:00:18.1562500","985624576","2200008880128","False",,,,"145514496","145514496",,
"chrome","1","233","2199770230784","16891904","10866688","18200","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.40625","63.0.3239.84","63.0.3239.84","Google Chrome","Google Chrome","Process","8",,"False",,"2988","Microsoft.Win32.SafeHandles.SafeProcessHandle","233","15936",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18200","18200","10866688","10866688","373072","373072","11104256","11104256","21184512","21184512","749142016","2199772397568","True","Normal","10866688","10866688","00:00:00.1718750","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","1/5/2018 7:23:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4062500","00:00:00.2343750","746975232","2199770230784","False",,,,"16891904","16891904",,
"CMGShieldSvc","0","813","687075328","36651008","34476032","44312","C:\Program Files\Dell\Dell Data Protection\Encryption\CmgShieldSvc.exe","Dell Inc.","113.90625","8.12.0.26","8.12.0.26","Encryption Service","Dell Data Protection Encryption","Process","8",,"False",,"2440","Microsoft.Win32.SafeHandles.SafeProcessHandle","813","3208",".","0","","System.Diagnostics.ProcessModule (CmgShieldSvc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","44312","44312","34476032","34476032","509400","509400","34975744","34975744","45879296","45879296","695738368","695738368","True","Normal","34476032","34476032","00:01:46.0468750","CMGShieldSvc","15","True","0","System.Diagnostics.ProcessStartInfo","1/2/2018 9:53:28 AM",,"System.Diagnostics.ProcessThreadCollection","00:01:53.9062500","00:00:07.8593750","687075328","687075328","False",,,,"36651008","36651008",,
"CmRcService","0","192","90484736","35758080","2830336","14000","C:\WINDOWS\CCM\RemCtrl\CmRcService.exe","Microsoft Corporation","1.125","5.00.8498.1000 (SCCM.170301-0127)","5.00.8498.1000","Configuration Manager Remote Control Service","System Center Configuration Manager","Process","8",,"False",,"3392","Microsoft.Win32.SafeHandles.SafeProcessHandle","192","6228",".","0","","System.Diagnostics.ProcessModule (CmRcService.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14000","14000","2830336","2830336","168696","168696","4890624","4890624","36159488","36159488","91602944","91602944","True","Normal","2830336","2830336","00:00:00.6250000","CmRcService","15","True","0","System.Diagnostics.ProcessStartInfo","1/2/2018 9:56:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.1250000","00:00:00.5000000","90484736","90484736","False",,,,"35758080","35758080",,
"ConEmu64","1","371","224505856","42692608","29790208","23800","C:\Program Files\ConEmu\ConEmu64.exe","ConEmu-Maximus5","6.21875","161206","161206","Console Emulator (x64)","ConEmu","Process","8",,"False",,"3408","Microsoft.Win32.SafeHandles.SafeProcessHandle","371","10480",".","984560","Dexter's Lab 01/05/2018 07:43:27","System.Diagnostics.ProcessModule (ConEmu64.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23800","23800","29790208","29790208","364496","364496","30068736","30068736","43061248","43061248","224874496","224874496","True","Normal","29790208","29790208","00:00:05.0156250","ConEmu64","15","True","1","System.Diagnostics.ProcessStartInfo","1/5/2018 7:24:37 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.2187500","00:00:01.2031250","224505856","224505856","False",,,,"42692608","42692608",,
"ConEmuC","1","160","93933568","8527872","3252224","12016","C:\Program Files\ConEmu\ConEmu\ConEmuC.exe","ConEmu-Maximus5","14.09375","161206","161206","ConEmu console extender (x86)","ConEmu","Process","8",,"False",,"3424","Microsoft.Win32.SafeHandles.SafeProcessHandle","160","11988",".","0","","System.Diagnostics.ProcessModule (ConEmuC.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12016","12016","3252224","3252224","170920","170920","3735552","3735552","8683520","8683520","97865728","97865728","True","Normal","3252224","3252224","00:00:09.2031250","ConEmuC","15","True","1","System.Diagnostics.ProcessStartInfo","1/5/2018 7:30:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:14.0937500","00:00:04.8906250","93933568","93933568","False",,,,"8527872","8527872",,
